ProductId;Prompt;output_gpt-4;model_gpt-4
200440;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Anschluss A: 1x Cinch
Anschluss B: 1x Cinch
Anwendungsbereich: Consumer / Hi-Fi
Art: Kabel
Audio Kabeltyp: Cinch
Datenübertragung: Digital
Genaue Materialbezeichnung: Kupfer
Innenleiter Material: Kupfer
Kabel Anwendung: Digital-audio
Kabel Bauform: sauerstofffreies Kupfer
Kabel Verbindung: Anschluss (M/M)
Kabelfarbe: Blau
Länge: 3 Meter (m) Meter
Menge pro Packung: 1 Stück (Stk.) Stück
Steckerform: Vergoldete Kontakte
Steckerform: Gerade
Tiefe: 3 Meter (m) Meter";Dieses 3 Meter lange, blaue Cinch-Kabel ist für den Einsatz im Consumer/Hi-Fi-Bereich vorgesehen und ermöglicht eine digitale Datenübertragung. Es besteht aus sauerstofffreiem Kupfer und verfügt über vergoldete Kontakte für eine optimale Signalübertragung. Das Produkt kommt in einer Menge von einem Stück pro Packung.;gpt-4
203240;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Artikel pro Verkaufseinheit: 2 Stück (Stk.) Stück
Druckerserie: DesignJet
Druckfarbe: Magenta
Druckfarbe: Cyan
Farbbezeichnung: C
Farbbezeichnung: M
Herstellerengagement: SBTi
Herstellerengagement: RE100
Inhalt: 130 Milliliter (ml) Milliliter
Kompatibel zu OEM: C9383A
Kompatible Druckermodelle: T1100
Kompatible Druckermodelle: T1100PS
Kompatible Druckermodelle: T1200
Passende Druckermarke: HP
Patronenart: Originalprodukt
Patronengrösse: Normal
Patronentyp: Druckkopf
Ursprungsland: Singapur";Dieses Originalprodukt von HP ist ein Druckkopf der DesignJet Serie, kompatibel mit den Druckermodellen T1100, T1100PS und T1200. Mit einem Inhalt von 130ml, liefert es Druckfarben in Magenta und Cyan. Hergestellt in Singapur, wird es unter dem Engagement der Hersteller SBTi und RE100 verkauft.;gpt-4
204460;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

American Wire Gauge (AWG): 26
Anschluss A: RJ45
Anschluss B: RJ45
Artikel pro Verkaufseinheit: 1 Stück (Stück) Stück
Breite: 150 Millimeter (mm) Millimeter
Genaue Materialbezeichnung: Polyvinylchlorid (PVC)
Gewicht: 83.5 Gramm (g) Gramm
Impedanz: 100 Ohm
Kabel Anwendung: Netzwerk
Kabel Bauform: 100 Ohm
Kabel Kategorie: CAT6
Kabel Verbindung: Anschluss (M/M)
Kabelfarbe: Blau
Kontaktbelegung: ungekreuzt (straight)
Lieferumfang: 1
Länge: 2 Meter (m) Meter
Material Isolation: Polyvinylchlorid
Patchkabel Merkmale: Halogenfrei
Patchkabeltyp: Kupferkabel
Schirmung: S/FTP
Steckerform: Vergoldete Kontakte
Ursprungsland: China";Das Produkt ist ein 2 Meter langes, blau gefärbtes CAT6-Netzwerkkabel mit RJ45-Anschlüssen und einer Impedanz von 100 Ohm. Es ist aus Polyvinylchlorid (PVC) gefertigt, verfügt über vergoldete Kontakte und eine S/FTP-Schirmung. Mit einer Breite von 150mm und einem Gewicht von 83,5g ist es ein leichtes und kompaktes Kabel, ideal für Netzwerkanwendungen.;gpt-4
207900;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Antriebsart: Riemenantrieb
Audio-Anschlüsse: Cinch S/PDIF (1x)
Breite: 360 Millimeter (mm) Millimeter
Drehzahl: 45 Rpm
Drehzahl: 33 Rpm
Energieversorgung: Netzbetrieb
Ersatznadeltyp: DSN-82
Farbgruppe: Silber
Genaue Farbbezeichnung: Silber
Genaue Materialbezeichnung: Kunststoff
Gewicht: 2.7 Kilogramm (kg) Kilogramm
Höhe: 97 Millimeter (mm) Millimeter
Lieferumfang: Handbuch
Materialgruppe: Kunststoff
Plattenspieler Ausstattung: Vorverstärker
Plattenspieler Betriebsart: Vollautomatisch
Tiefe: 357 Millimeter (mm) Millimeter
Tonabnehmer: Moving Magnet
Tonarm: Gerade";Dieser vollautomatische Plattenspieler mit Riemenantrieb bietet zwei Drehgeschwindigkeiten (33 und 45 Rpm) und ist mit einem Moving Magnet Tonabnehmer und einem Vorverstärker ausgestattet. Er hat eine Breite von 360 mm, eine Höhe von 97 mm und eine Tiefe von 357 mm und wiegt 2,7 kg. Das Gerät ist aus Kunststoff gefertigt, in Silber gehalten und wird mit einem Netzadapter betrieben.;gpt-4
213020;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Artikel pro Verkaufseinheit: 1 Stück (Stk.) Stück
Breite: 22 Zentimeter (cm) Zentimeter
Druckerserie: C
Druckfarbe: Schwarz
Druckleistung bei 5% Deckung: 20000 Anzahl (x) Anzahl
Farbbezeichnung: BK
Gewicht: 1400 Gramm (g) Gramm
Herstellerengagement: SBTi
Höhe: 38 Zentimeter (cm) Zentimeter
Kompatible Druckermodelle: C5750
Kompatible Druckermodelle: C5650
Passende Druckermarke: OKI
Patronenart: Originalprodukt
Tiefe: 15 Zentimeter (cm) Zentimeter
Tonergrösse: Normal
Tonertyp: Trommeleinheit
Ursprungsland: Japan";Das Produkt ist eine Original-Trommeleinheit des Herstellers OKI, kompatibel mit den Druckermodellen C5750 und C5650 der Serie C. Die Druckleistung beträgt 20000 Seiten bei 5% Deckung und die Druckfarbe ist Schwarz. Mit Abmessungen von 22 x 38 x 15 cm und einem Gewicht von 1400 g, kommt das Produkt aus Japan.;gpt-4
217400;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Breite: 54 Zentimeter (cm) Zentimeter
Farbgruppe: Schwarz
Genaue Farbbezeichnung: Schwarz
Genaue Materialbezeichnung: Metall
Gewicht: 7 Kilogramm (kg) Kilogramm
Höhe: 29 Zentimeter (cm) Zentimeter
Kabellänge: 2 Meter (m) Meter
Leistung: 1000 Watt (W) Watt
Lieferumfang: Montagezubehör
Lieferumfang: Handbuch
Lieferumfang: Käsehalter
Lieferumfang: Raclette-Ofen
Lieferumfang: Netzkabel
Länge: 33 Zentimeter (cm) Zentimeter
Materialgruppe: Metall
Max. Anzahl Personen: 10 Anzahl (x) Anzahl
Netzspannung: 230 V
Raclette Art: Käse in Laibform
Ursprungsland: Schweiz";Dieser schwarze Raclette-Ofen, hergestellt in der Schweiz, ist aus Metall gefertigt und wiegt 7 kg. Mit einer Leistung von 1000 Watt und einer Kabellänge von 2 Metern, kann er bis zu 10 Personen bedienen und eignet sich für Käse in Laibform. Im Lieferumfang sind Montagezubehör, Handbuch, Käsehalter und Netzkabel enthalten.;gpt-4
217880;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Anwendungsbereich: Outdoor
Behältervolumen: 265 Liter (l) Liter
Bodenloch: gelocht
Breite: 75 Zentimeter (cm) Zentimeter
Durchmesser: 75 Zentimeter (cm) Zentimeter
Farbgruppe: Grau
Form: Rund
Format (Abmessung): Ø 75 x 60 cm
Genaue Farbbezeichnung: Grau
Genaue Materialbezeichnung: Faserzement
Gewicht: 33 Kilogramm (kg) Kilogramm
Höhe: 60 Zentimeter (cm) Zentimeter
Länge: 75 Zentimeter (cm) Zentimeter
Materialgruppe: Zement
Oberflächenbearbeitung: Glatt";Dieser Outdoor-Behälter besteht aus glattem Faserzement in der Farbe Grau. Mit einem Volumen von 265 Litern und den Maßen 75 x 60 cm, bietet er ausreichend Platz und ist durch ein Bodenloch gelocht. Das Produkt wiegt 33 kg und hat eine runde Form.;gpt-4
217920;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Breite: 50 Zentimeter (cm) Zentimeter
Farbgruppe: Grau
Genaue Farbbezeichnung: Grau
Genaue Materialbezeichnung: Faserzement
Holzhandelsverordnung: Produkt ist von der Holzhandelsverordnung betroffen
Holzherkunft: Schweiz
Höhe: 25 Zentimeter (cm) Zentimeter
Materialgruppe: Zement
Oberflächenbearbeitung: Glatt";Dieses Produkt ist ein grauer Faserzementblock mit den Maßen 50 cm in der Breite und 25 cm in der Höhe. Die Oberfläche ist glatt bearbeitet und das Material stammt aus der Schweiz. Das Produkt ist von der Holzhandelsverordnung betroffen.;gpt-4
218940;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Anwendungsbereich: Indoor
Anzahl Batterien: 1
Anzeigetyp: Digital
Batteriebaugrösse: AA / LR6 / LR06 / Mignon / R6 / R14505
Breite: 95 Millimeter (mm) Millimeter
Energieversorgung: Batteriebetrieb
Farbgruppe: Silber
Genaue Farbbezeichnung: Schwarz
Genaue Materialbezeichnung: Kunststoff
Gewicht: 180 Gramm (g) Gramm
Höhe: 110 Millimeter (mm) Millimeter
Klima Messgerättyp: Thermometer
Lieferumfang: Batterie
Länge: 20 Millimeter (mm) Millimeter
Materialgruppe: Kunststoff
Messbereich Temperatur bis: 50 Grad Celsius (°C) Grad Celsius
Messbereich Temperatur von: -10 Grad Celsius (°C) Grad Celsius
Messeinheit: °C
Montageart: Wandmontage
Montageart: Freistehend
Sensor Messfunktionen: Temperatur
Zusatzfunktionen: Min/Max-Temperatur Speicherung";Dieses digitale Thermometer ist sowohl für die Wandmontage als auch freistehend geeignet und misst Temperaturen im Bereich von -10 bis +50 Grad Celsius. Das Gerät, das hauptsächlich aus Kunststoff besteht, wird von einer einzelnen AA Batterie gespeist, die im Lieferumfang enthalten ist. Zusätzlich zur Temperaturmessung bietet es eine Min/Max-Temperaturspeicherungsfunktion.;gpt-4
219760;"Bitte gib eine Produktzusammenfassung in maximal drei Sätzen. Konzentriere dich dabei auf die technischen Eigenschaften und Funktionen des Produkts.

Dosentyp: C13
Geräteanschluss: C13
Kabelfarbe: Schwarz
Kabellänge: 1.8 Meter (m) Meter
Steckertyp: Typ 12
Wandanschluss: Typ 12";Dieses schwarze Kabel hat eine Länge von 1,8 Metern und verfügt über einen C13 Dosentyp sowie einen C13 Geräteanschluss. Es ist mit einem Typ 12 Stecker ausgestattet und für einen Typ 12 Wandanschluss konzipiert. Die robuste Konstruktion gewährleistet eine sichere und zuverlässige Verbindung.;gpt-4
