ProductId,Prompt,output_gpt-4,model_gpt-4
200440,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Anschluss A: 1x Cinch
Anschluss B: 1x Cinch
Anwendungsbereich: Consumer / Hi-Fi
Art: Kabel
Audio Kabeltyp: Cinch
Datenübertragung: Digital
Genaue Materialbezeichnung: Kupfer
Innenleiter Material: Kupfer
Kabel Anwendung: Digital-audio
Kabel Bauform: sauerstofffreies Kupfer
Kabel Verbindung: Anschluss (M/M)
Kabelfarbe: Blau
Länge: 3 Meter (m) Meter
Menge pro Packung: 1 Stück (Stk.) Stück
Steckerform: Vergoldete Kontakte
Steckerform: Gerade
Tiefe: 3 Meter (m) Meter
","Dieses 3 Meter lange, blaue Digital-Audio-Kabel verfügt über einen Cinch-Anschluss an beiden Enden und ist ideal für Consumer- oder Hi-Fi-Anwendungen. Es besteht aus sauerstofffreiem Kupfer als Innenleitermaterial für eine optimale Datenübertragung. Die Stecker sind gerade und mit vergoldeten Kontakten ausgestattet, um eine hohe Signalqualität zu gewährleisten.",gpt-4
203240,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Artikel pro Verkaufseinheit: 2 Stück (Stk.) Stück
Druckerserie: DesignJet
Druckfarbe: Magenta
Druckfarbe: Cyan
Farbbezeichnung: C
Farbbezeichnung: M
Herstellerengagement: SBTi
Herstellerengagement: RE100
Inhalt: 130 Milliliter (ml) Milliliter
Kompatibel zu OEM: C9383A
Kompatible Druckermodelle: T1100
Kompatible Druckermodelle: T1100PS
Kompatible Druckermodelle: T1200
Passende Druckermarke: HP
Patronenart: Originalprodukt
Patronengrösse: Normal
Patronentyp: Druckkopf
Ursprungsland: Singapur
","Dieses Originalprodukt von HP ist ein Druckkopf mit einer normalen Patronengröße, der kompatibel ist mit den Druckermodellen T1100, T1100PS und T1200 der DesignJet-Serie. Die Druckfarbe ist Magenta und Cyan. Hergestellt in Singapur, enthält jede Verkaufseinheit zwei Patronen mit einem Inhalt von jeweils 130 Millilitern.",gpt-4
204460,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

American Wire Gauge (AWG): 26
Anschluss A: RJ45
Anschluss B: RJ45
Artikel pro Verkaufseinheit: 1 Stück (Stück) Stück
Breite: 150 Millimeter (mm) Millimeter
Genaue Materialbezeichnung: Polyvinylchlorid (PVC)
Gewicht: 83.5 Gramm (g) Gramm
Impedanz: 100 Ohm
Kabel Anwendung: Netzwerk
Kabel Bauform: 100 Ohm
Kabel Kategorie: CAT6
Kabel Verbindung: Anschluss (M/M)
Kabelfarbe: Blau
Kontaktbelegung: ungekreuzt (straight)
Lieferumfang: 1
Länge: 2 Meter (m) Meter
Material Isolation: Polyvinylchlorid
Patchkabel Merkmale: Halogenfrei
Patchkabeltyp: Kupferkabel
Schirmung: S/FTP
Steckerform: Vergoldete Kontakte
Ursprungsland: China
","Dieses 2 Meter lange, blaue Patchkabel vom Typ CAT6 hat einen RJ45-Anschluss an beiden Enden und eine S/FTP-Schirmung für Netzwerkanwendungen. Das Kabel hat eine American Wire Gauge (AWG) von 26 und eine Impedanz von 100 Ohm. Zudem besteht das Kabel aus Polyvinylchlorid (PVC) und ist halogenfrei, wobei die Kontakte vergoldet sind.",gpt-4
207900,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Antriebsart: Riemenantrieb
Audio-Anschlüsse: Cinch S/PDIF (1x)
Breite: 360 Millimeter (mm) Millimeter
Drehzahl: 45 Rpm
Drehzahl: 33 Rpm
Energieversorgung: Netzbetrieb
Ersatznadeltyp: DSN-82
Farbgruppe: Silber
Genaue Farbbezeichnung: Silber
Genaue Materialbezeichnung: Kunststoff
Gewicht: 2.7 Kilogramm (kg) Kilogramm
Höhe: 97 Millimeter (mm) Millimeter
Lieferumfang: Handbuch
Materialgruppe: Kunststoff
Plattenspieler Ausstattung: Vorverstärker
Plattenspieler Betriebsart: Vollautomatisch
Tiefe: 357 Millimeter (mm) Millimeter
Tonabnehmer: Moving Magnet
Tonarm: Gerade
","Der vollautomatische Plattenspieler mit Riemenantrieb und Vorverstärker besitzt eine geraden Tonarm und einen Moving Magnet Tonabnehmer. Mit den Drehzahlen 33 und 45 Rpm sowie dem Ersatznadeltyp DSN-82 ist er flexibel einsetzbar. Das Gerät in silberfarbener Kunststoffausführung hat die Maße 360x357x97 mm und wiegt 2,7 kg.",gpt-4
213020,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Artikel pro Verkaufseinheit: 1 Stück (Stk.) Stück
Breite: 22 Zentimeter (cm) Zentimeter
Druckerserie: C
Druckfarbe: Schwarz
Druckleistung bei 5% Deckung: 20000 Anzahl (x) Anzahl
Farbbezeichnung: BK
Gewicht: 1400 Gramm (g) Gramm
Herstellerengagement: SBTi
Höhe: 38 Zentimeter (cm) Zentimeter
Kompatible Druckermodelle: C5750
Kompatible Druckermodelle: C5650
Passende Druckermarke: OKI
Patronenart: Originalprodukt
Tiefe: 15 Zentimeter (cm) Zentimeter
Tonergrösse: Normal
Tonertyp: Trommeleinheit
Ursprungsland: Japan
","Diese Original-Trommeleinheit von OKI, passend für die Druckermodelle C5650 und C5750, bietet eine Druckleistung von 20.000 Seiten bei 5% Deckung in der Druckfarbe Schwarz. Mit einer Breite von 22 cm, einer Höhe von 38 cm und einer Tiefe von 15 cm wiegt die Trommeleinheit 1400 Gramm. Das Produkt stammt aus Japan und ist Teil des SBTi-Herstellerengagements.",gpt-4
217400,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Breite: 54 Zentimeter (cm) Zentimeter
Farbgruppe: Schwarz
Genaue Farbbezeichnung: Schwarz
Genaue Materialbezeichnung: Metall
Gewicht: 7 Kilogramm (kg) Kilogramm
Höhe: 29 Zentimeter (cm) Zentimeter
Kabellänge: 2 Meter (m) Meter
Leistung: 1000 Watt (W) Watt
Lieferumfang: Montagezubehör
Lieferumfang: Handbuch
Lieferumfang: Käsehalter
Lieferumfang: Raclette-Ofen
Lieferumfang: Netzkabel
Länge: 33 Zentimeter (cm) Zentimeter
Materialgruppe: Metall
Max. Anzahl Personen: 10 Anzahl (x) Anzahl
Netzspannung: 230 V
Raclette Art: Käse in Laibform
Ursprungsland: Schweiz
","Dieser 1000-Watt Raclette-Ofen aus robustem Metall, gefertigt in der Schweiz, ist speziell für Käse in Laibform konzipiert und bietet Platz für bis zu 10 Personen. Mit den Abmessungen von 54cm x 33cm x 29cm und einem Gewicht von 7kg ist das Gerät zudem kompakt und leicht zu handhaben. Das Gerät wird mit Montagezubehör, Handbuch, Käsehalter und einem 2 Meter langen Netzkabel geliefert.",gpt-4
217880,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Anwendungsbereich: Outdoor
Behältervolumen: 265 Liter (l) Liter
Bodenloch: gelocht
Breite: 75 Zentimeter (cm) Zentimeter
Durchmesser: 75 Zentimeter (cm) Zentimeter
Farbgruppe: Grau
Form: Rund
Format (Abmessung): Ø 75 x 60 cm
Genaue Farbbezeichnung: Grau
Genaue Materialbezeichnung: Faserzement
Gewicht: 33 Kilogramm (kg) Kilogramm
Höhe: 60 Zentimeter (cm) Zentimeter
Länge: 75 Zentimeter (cm) Zentimeter
Materialgruppe: Zement
Oberflächenbearbeitung: Glatt
","Dieser Outdoor-Behälter aus glattem Faserzement in Grau hat ein Volumen von 265 Litern und ein Gewicht von 33 Kilogramm. Seine runde Form hat einen Durchmesser von 75 Zentimetern und eine Höhe von 60 Zentimetern. Der Behälter ist mit einem Bodenloch ausgestattet, was ihn ideal für diverse Outdoor-Anwendungen macht.",gpt-4
217920,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Breite: 50 Zentimeter (cm) Zentimeter
Farbgruppe: Grau
Genaue Farbbezeichnung: Grau
Genaue Materialbezeichnung: Faserzement
Holzhandelsverordnung: Produkt ist von der Holzhandelsverordnung betroffen
Holzherkunft: Schweiz
Höhe: 25 Zentimeter (cm) Zentimeter
Materialgruppe: Zement
Oberflächenbearbeitung: Glatt
","Das Produkt ist ein in der Schweiz hergestelltes Faserzement-Element, das eine Breite von 50 cm und eine Höhe von 25 cm aufweist. Es ist in der Farbgruppe Grau gehalten und weist eine glatte Oberflächenbearbeitung auf. Es ist zu beachten, dass das Produkt von der Holzhandelsverordnung betroffen ist.",gpt-4
218940,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Anwendungsbereich: Indoor
Anzahl Batterien: 1
Anzeigetyp: Digital
Batteriebaugrösse: AA / LR6 / LR06 / Mignon / R6 / R14505
Breite: 95 Millimeter (mm) Millimeter
Energieversorgung: Batteriebetrieb
Farbgruppe: Silber
Genaue Farbbezeichnung: Schwarz
Genaue Materialbezeichnung: Kunststoff
Gewicht: 180 Gramm (g) Gramm
Höhe: 110 Millimeter (mm) Millimeter
Klima Messgerättyp: Thermometer
Lieferumfang: Batterie
Länge: 20 Millimeter (mm) Millimeter
Materialgruppe: Kunststoff
Messbereich Temperatur bis: 50 Grad Celsius (°C) Grad Celsius
Messbereich Temperatur von: -10 Grad Celsius (°C) Grad Celsius
Messeinheit: °C
Montageart: Wandmontage
Montageart: Freistehend
Sensor Messfunktionen: Temperatur
Zusatzfunktionen: Min/Max-Temperatur Speicherung
","Dieses digitale Thermometer besteht aus schwarzem Kunststoff und misst Temperaturen von -10 bis 50 Grad Celsius. Es kann freistehend aufgestellt oder an der Wand montiert werden und bietet eine Min/Max-Temperatur-Speicherungsfunktion. Es wird mit einer AA / LR6 / LR06 / Mignon / R6 / R14505 Batterie betrieben, die im Lieferumfang enthalten ist.",gpt-4
219760,"
Du bist ein Produktexperte im technischen E-Commerce. Deine Aufgabe ist es, aus strukturierten Produktdaten eine prägnante Produktzusammenfassung zu schreiben. Sie soll in maximal drei Sätzen die wichtigsten technischen Eigenschaften und Funktionen klar, sachlich und für eine interessierte Fachkundschaft verständlich darstellen. Verwende keine allgemeinen Werbephrasen, sondern orientiere dich ausschließlich an den vorliegenden Fakten.

Hier sind die Produktinformationen:
{Produktdaten einsetzen}

Antwort:

Dosentyp: C13
Geräteanschluss: C13
Kabelfarbe: Schwarz
Kabellänge: 1.8 Meter (m) Meter
Steckertyp: Typ 12
Wandanschluss: Typ 12
","Das Produkt ist ein 1,8 Meter langes, schwarzes Kabel mit C13 Dosen- und Geräteanschluss. Es verfügt über einen Typ 12 Stecker für den Wandanschluss. Die robuste Konstruktion gewährleistet eine zuverlässige und langlebige Verbindung.",gpt-4
